method,dialect_source,roc_auc,macro_f1,accuracy,precision,recall,threshold,AAE_proxy_n,AAE_proxy_fpr,AAE_proxy_positive_rate,AAE_proxy_auc,Other_proxy_n,Other_proxy_fpr,Other_proxy_positive_rate,Other_proxy_auc,dialect_fpr_gap_max_min
erm,exploratory_proxy,0.8747762133699635,0.7129408331490596,0.7867,0.9583642021040154,0.7774038461538462,0.25999999999999995,531,0.3076923076923077,0.7947269303201506,0.8846896346896347,9469,0.16616676664667065,0.6681803780758264,0.872566860634538,0.14152554104563705
cda,exploratory_proxy,0.8545985004578754,0.6938043565672503,0.765,0.9590895109197171,0.7495192307692308,0.36999999999999994,531,0.15384615384615385,0.7570621468926554,0.8897386397386396,9469,0.15836832633473305,0.6442074136656458,0.8523500119253258,0.004522172488579196
clp,exploratory_proxy,0.8374648008241758,0.6903628665956403,0.7666,0.9506172839506173,0.7588942307692308,0.22999999999999998,531,0.23076923076923078,0.7853107344632768,0.8581823581823582,9469,0.1949610077984403,0.657408385257155,0.8346844217416449,0.035808222970790476
proposed,exploratory_proxy,0.8614492831387363,0.6972280804324265,0.7728,0.9529658478130617,0.7646634615384615,0.7599999999999999,531,0.23076923076923078,0.7815442561205274,0.8694683694683696,9469,0.1865626874625075,0.6612102650755095,0.8598094531311631,0.04420654330672327
